category,tenor_years,bank,grr,spread,avg_lending_rate,average_apr,as_of,max_fees_total,fee_count,basis,source
household,1,Bank of Africa Ghana Limited,29.31,-13.31,16.0,24.82,2024-09-30,4.58,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Societe General Ghana PLC,29.31,-2.76,26.55,31.96,2024-09-30,5.56,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Consolidated Bank Ghana Limited,29.31,-0.62,28.69,31.99,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Republic Bank (Ghana) PLC,29.31,-1.96,27.35,32.43,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Stanbic Bank Ghana Limited,29.31,-0.45,28.86,32.83,2024-09-30,2.6,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,FBNBank (Ghana) Limited,29.31,-1.31,28.0,33.91,2024-09-30,3.5,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Absa Bank Ghana Limited,29.31,3.05,32.36,34.01,2024-09-30,3.26,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Standard Chartered Bank (Ghana) Limited,29.31,-3.97,25.34,34.28,2024-09-30,0.02,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Ecobank Ghana Limited,29.31,3.32,32.63,34.4,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,OmniBSIC Bank Ghana Limited,29.31,1.69,31.0,35.04,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,GCB Bank Limited,29.31,-4.31,25.0,35.3,2024-09-30,3.8,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Prudential Bank Limited,29.31,0.69,30.0,35.46,2024-09-30,5.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Zenith Bank (Ghana) Limited,29.31,2.16,31.47,35.91,2024-09-30,3.5,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,First Atlantic Bank Limited,29.31,4.97,34.28,36.3,2024-09-30,1.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Guaranty Trust Bank (Ghana) Limited,29.31,5.69,35.0,38.61,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Access Bank Ghana Plc,29.31,3.78,33.09,38.77,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Agricultural Development Bank Limited,29.31,5.37,34.68,39.83,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,United Bank for Africa (Ghana) Limited,29.31,6.69,36.0,42.0,2024-09-30,4.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,First National Bank (Ghana) Limited,29.31,6.38,35.69,43.52,2024-09-30,4.9,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,National Investment Bank Limited,29.31,14.3,43.61,44.22,2024-09-30,2.25,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Fidelity Bank Ghana Limited,29.31,4.63,33.94,49.92,2024-09-30,3.68,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,Universal Merchant Bank Limited,29.31,7.69,37.0,55.98,2024-09-30,2.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,1,CalBank PLC,29.31,,,,2024-09-30,0,0,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Bank of Africa Ghana Limited,29.31,-11.1,18.21,24.18,2024-09-30,4.58,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Societe General Ghana PLC,29.31,-3.04,26.27,26.98,2024-09-30,5.41,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Consolidated Bank Ghana Limited,29.31,0.03,29.34,27.56,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Republic Bank (Ghana) PLC,29.31,-1.96,27.35,28.89,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Absa Bank Ghana Limited,29.31,0.89,30.2,30.06,2024-09-30,3.07,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Access Bank Ghana Plc,29.31,3.38,32.69,30.22,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Standard Chartered Bank (Ghana) Limited,29.31,-3.97,25.34,30.61,2024-09-30,0.02,1,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Stanbic Bank Ghana Limited,29.31,-1.96,27.35,31.38,2024-09-30,2.6,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,GCB Bank Limited,29.31,-4.31,25.0,32.77,2024-09-30,3.8,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Fidelity Bank Ghana Limited,29.31,-4.24,25.07,32.83,2024-09-30,5.85,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,FBNBank (Ghana) Limited,29.31,2.0,31.31,33.06,2024-09-30,3.5,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Zenith Bank (Ghana) Limited,29.31,2.19,31.5,33.37,2024-09-30,3.5,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Ecobank Ghana Limited,29.31,4.07,33.38,34.8,2024-09-30,2.25,4,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,First Atlantic Bank Limited,29.31,7.19,36.5,34.92,2024-09-30,3.5,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,OmniBSIC Bank Ghana Limited,29.31,1.69,31.0,35.04,2024-09-30,3.0,2,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Prudential Bank Limited,29.31,2.19,31.5,35.35,2024-09-30,5.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
household,3,Agricultural Development Bank Limited,29.31,3.77,33.08,36.13,2024-09-30,3.0,3,indicative; actual APR varies by borrower assessment,apr-2024-09.pdf
