fund_id,slug,name,former_name,link,doc_count,factsheets,annual_reports
8906,aim-freedom-fixed-income-trust,AIM Freedom Fixed Income Trust,,https://annualreportsghana.com/cis/aim-freedom-fixed-income-trust/,4,0,1
5122,algebra-income-trust,Algebra Income Trust,,https://annualreportsghana.com/cis/algebra-income-trust/,7,0,5
8882,anidaso-mutual-fund,Anidaso Mutual Fund,,https://annualreportsghana.com/cis/anidaso-mutual-fund/,11,0,9
5941,bora-balanced-unit-trust,Bora Balanced Unit Trust,,https://annualreportsghana.com/cis/bora-balanced-unit-trust/,5,0,3
5939,bora-fixed-income-unit-trust,Bora Fixed Income Unit Trust,,https://annualreportsghana.com/cis/bora-fixed-income-unit-trust/,4,0,2
7602,bora-global-balanced-trust,Bora Global Balanced Trust,,https://annualreportsghana.com/cis/bora-global-balanced-trust/,2,0,0
6978,brassica-alpha-fund,Brassica Alpha Fund,,https://annualreportsghana.com/cis/brassica-alpha-fund/,2,0,0
5958,cal-advantage-unit-trust,CAL Advantage Balanced Unit Trust,,https://annualreportsghana.com/cis/cal-advantage-unit-trust/,5,0,3
5960,cal-benefit-unit-trust,CAL Benefit Fixed Income Unit Trust,,https://annualreportsghana.com/cis/cal-benefit-unit-trust/,4,0,3
1382,christian-community-mutual-fund,Christian Community Mutual Fund,,https://annualreportsghana.com/cis/christian-community-mutual-fund/,18,2,14
4156,cm-fund-formerly-campus-mutual-fund,CM Fund,campus mutual fund,https://annualreportsghana.com/cis/cm-fund-formerly-campus-mutual-fund/,21,0,19
2089,dalex-vision-fund,Dalex Vision Fund,,https://annualreportsghana.com/cis/dalex-vision-fund/,10,0,8
452,databank-ark-fund,Databank Ark Fund,,https://annualreportsghana.com/cis/databank-ark-fund/,26,1,17
434,databank-balanced-fund,Databank Balanced Fund,,https://annualreportsghana.com/cis/databank-balanced-fund/,27,1,18
401,databank-educational-investment-fund,Databank Educational Investment Fund,,https://annualreportsghana.com/cis/databank-educational-investment-fund/,20,1,11
414,databank-epack-investment-fund,Databank Epack Investment Fund,,https://annualreportsghana.com/cis/databank-epack-investment-fund/,31,1,22
468,databank-mfund-formerly-databank-money-market-fund,Databank MFund,databank money market fund,https://annualreportsghana.com/cis/databank-mfund-formerly-databank-money-market-fund/,31,1,23
7311,delta-fund,Delta Fund,,https://annualreportsghana.com/cis/delta-fund/,7,0,4
5946,ecocapital-prime-fund,EcoCapital Prime Fund,,https://annualreportsghana.com/cis/ecocapital-prime-fund/,6,2,2
