category,name,address,phone,website,email,register_url
Banks,Absa Bank Ghana LTD,"Absa House J.E. Atta-Mills High Street Accra P.O. Box GP2949, Accra",233-302-429150,https://www.absa.com.gh,service.excellence@absa.africa,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Access Bank (Ghana) Plc,"Starlets’ 91 Road, Opposite Accra Sports Stadium, Osu P. O. Box GP 353, Accra, Ghana","233-302-661769, 233-302-684858, 233-302-661613",http://www.ghana.accessbankplc.com,info@ghana.accessbankplc.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Agricultural Development Bank Plc,"Accra Financial Centre, 3rd Ambassadorial Development Area, Ridge-Accra, P.O. Box 4191, Accra-Ghana","233-302-770403, 233-302-762104, 233-302-783123,233-302-784394,233-28-9255880,233-28-9225881",http://www.agricbank.com,customercare@agricbank.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Bank of Africa Ghana Limited,"Head Office,1st Floor, Block A&B,The Octagon, Independence Avenue P.O. Box C1541 Cantonments, Accra – Ghana","233-302-249690,233-302-249679/83/98,233-302-249683,233-302-249683,233-302-249698",http://www.boaghana.com,complaints@boaghana.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,CalBank PLC,Head Office 45 Independence Ave P.O. Box 14596 Accra – Ghana,"233-302-680061, 233-302-680069",http://www.calbank.net,customercare@calbank.net,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Consolidated Bank Ghana Limited,"First Floor, Manet Tower 3, Airport City, Accra PMB CT363 ,Cantonments, Accra","233 302-634330, 233 302-634359, 233 302-216000",http://www.cbg.com.gh,info@cbg.com.gh,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Ecobank Ghana Plc,"2 Morocco Lane, Off Independence Avenue, P.O. Box: P.O. Box AN 16746, Accra North – Ghana","233 302-681146/8, 233 302-213999",http://www.ecobank.com,ecobankenquiries@ecobank.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Fidelity Bank (Ghana) LTD,"Ridge Towers – Ridge, Accra. PMB 43, Cantonments, Accra, Ghana.",233-302-214490,http://www.fidelitybank.com.gh,wecare@myfidelitybank.net,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,First Atlantic Bank Limited,"233 -302-68 2203, 233-302-68 0825","233 -302-68 2203, 233-302-68 0825",http://www.firstatlanticbank.com.gh,Info@firstatlanticbank.com.gh,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,First Bank (Ghana) LTD,"Head Office,Plot No. 678, Liberation Road, Airport, Accra, PMB No. 16, Accra North, Ghana","233-302-236136/235684, 233-302-238510, 233-302-235684, 233-302-236136, 233-302-235819",http://www.fbnbankghana.com,fbn@fbnbankghana.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,First National Bank (Ghana) Limited,"Head Office, 6th Floor, Accra Financial Centre, Cnr. Independence Ave./Liberation Road, P.O. Box TU 23, Accra-Ghana",233-302-242435050,http://www.firstnationalbank.com.gh,info@firstnationalbank.com.gh,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,GCB Bank Plc,"Head Office, High Street , 2 Thorpe Road, P.O. Box 134, Accra","233-302-672852, 233-302-664918, 233-302-663964, 233-302-672852-4, 233-302-672859, 233-302-672865, 233-302-663480, 233-302-664910",http://www.gcbbank.com.gh,corporateaffairs@gcb.com.gh,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Guaranty Trust Bank (Ghana) LTD,"25A, Castle Road, Ambassadorial Enclave, Ambassadorial Enclave, Ridge, PM.B CT 416, Accra – Ghana","233-302 - 680668, 233-302 - 676462, 233-302 - 687751, 233-302 - 680662, 233-302 - 680746, 233-302 - 676681, 233-302 - 201027, 233-303 - 201048, 233-302 - 816621-3",http://www.gtbghana.com,gh.corporateaffairs@gtbank.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,National Investment Bank PLC,"Head Office, Manet Tower B, Airport City, Accra, P.O. Box 3726, Accra, Ghana. GPS Address: GL-116-4851",233-302-661701,http://www.nib-ghana.com,info@nib-ghana.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,OmniBSIC Bank Ghana LTD,"Plot 16, Atlantic Tower, Airport City, Accra; P.O. Box KN 5569, Kaneshie, Accra. GPS Address: GL-126-3809","233-307-086000, 0800100790",http://www.omnibsic.com.gh,info@omnibsicbank.com.gh,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Prudential Bank Limited,"Head Office, Ring Road Central, PMB - General Post Office, Accra – Ghana",233-302-781200-7,http://www.prudentialbank.com.gh,headoffice@prudentialbank.com.gh,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Republic Bank (Ghana) PLC,"Head Office, Ebankese No. 35, Sixth Avenue, North Ridge, Accra – Ghana, P.O Box CT 4603, Cantonments,Accra – Ghana","233-302-242090-2, 233-302-242090-4",http://www.republicghana.com,email@republicghana.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Societe General Ghana Plc,"Head Office, P. O. Box 13119, Ring Road Central Accra, Accra - Ghana","233-302-202001, 233-302-248920, 233-577606464",http://www.societegenerale.com.gh,sgghana.info@socgen.com,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
Banks,Stanbic Bank Ghana Limited,"Head Office, Stanbic Heights, 25 Liberation Link, Airport City, P.O. Box CT 2344, Cantonments, Accra-Ghana","233-302-687670-8, 233-302-687671, 233-302-687672, 233-302-687673-9",http://www.stanbicbank.com.gh,customercare@stanbic.com.gh,https://www.bog.gov.gh/supervision-regulation/banking-supervision/banks
