"Name","Email","Phone","Website"
"Algebra Securities Limited","info@algebracapital.com.gh","233 302 778552 / 3 +233 302 778554","algebracapital.com.gh"
"Amber Securities Limited","securities@amber.com.gh","+233 30 2679761/2 +233 059 699 4756","amber.com.gh"
"Apakan Securities Limited","securities@apakangroup.com","0302936629","securities.apakangroup.com/"
"Black Star Brokerage Limited","info@blackstarbrokerage.com.gh","0302227698/0302767688","www.blackstaradvisors.com"
"Blackwood Capital Advisors Ltd","hello@bcagh.com","+233(0)591126800","www.bcagh.com"
"Bullion Securities Limited","info@bullionholding.com","(0544)-312462","bullionholding.com"
"CDH Securities Ltd.","cdhsecurities@cdhgroup.co","0207998163","cdhgroup.com"
"Chapel Hill Denham Securities (Gh.) Limited","ghana.info@chapelhilldenham.com","(0302)-766865","chapelhilldenham.com"
"Constant Capital (Ghana) Limited","info@constantcap.com.gh","+233 302500386/ 0302500149/0246844626","www.constantcap.com.gh/"
"Critical Ideas Limited","dion@chippercash.com","0244982585","www.chippercash.com"
"Databank Brokerage LTD.","info@databankgroup.com","(0302)-669110/669417/662363","databankgroup.com"
"Dosh Brokerage Ltd","info@0800dosh.me","0800367463","www.0800dosh.me"
"EDC Stockbrokers Limited","esl@ecobank.com","(0302)-251720","//ecobank.com/"
"Fincap Securities Limited","info@fincaps.net","+233 208241184 +233 0208362477","www.fincaps.net"
"First Atlantic Brokers Limited","brokers@firstatlanticbank.com.gh","0302218030/0302218036","https://fabbrokers.com.gh/"
"FirstBanc Brokerage Services Limited","brokerage@firstbancgroup.com","(0302)-250624/250380/250636","firstbancgroup.com"
"GFX Brokers Limited","info@gfxbrokers.com","0596920995","gfxbrokers.com"
"IC Securities (Ghana) Ltd.","sec@ic.africa","+233 (0) 308 250 051","www.ic.africa/"
"Laurus Africa Securities Limited","info@laurusafrica.com","0303940660/0308040110","laurusafrica.com"
"Merban Stockbrokers Ltd","stockbrokers@myumbbank.com","(0302)-251137/8","umbcapital.com"
"NTHC Securities Limited","securities@nthc.com.gh","(233)302223842/(233)302223849","securities.nthc.com.gh/"
"One Africa Securities Ltd","info@oamarkets.com","+233 27 781 8228","oamarkets.com"
"Petra Securities Limited","info@petrasecurities.com","0262290577/0302763908","petrasecurities.com"
"Regulus Investment and Financial Services Ghana Limited","contact@regulus.finance","0540114157/0540110130","https://regulus.finance/"
"Republic Securities (Ghana) Limited","securities@republicghana.com","0283094229","republicinvestmentsgh.com"
"Sarpong Capital Markets Limited","compliance@sarpongcapital.com","0540122295/0245222934/0500959197","www.sarpongcapital.com"
"Savvy Securities Limited Company","info@savvysecurities.com","0302200748","savvysecurities.com/"
"SBG Securities (Gh) Limited","stanbicgh@stanbic.com","(0302)-815789","www.sbgsecurities.com.gh"
"Serengeti Capital Markets Limited","service@newworldgh.com","(0302)-660163/676979/676980","serengeticapital.com/brokerage/"
"SIC Brokerage Limited","trader@sicbrokerage.com","0302 940056","sicbrokerage.com"
"Strategic African Securities Limited","sasltd@africaonline.com.gh","(0302)-251546-9 /7011770","sasghana.com"
"Teak Tree Brokerage Limited","info@ttbghana.com","(0302)-978838/9","ttbghana.com"
"Wallstreet Brokerage Ltd","info@wallstreetbrokeragegh.com","0303963009","www.wallstreetbrokeragegh.com"
"Worldwide Securities Limited","info@worldwidesecurities-gh.com","(0302)-764578/256001","worldwidesecurities-gh.com"
