broker,website,status,pages,best_page,commission,minimum,account_open,online,products,vague_pricing
Amber Securities,https://amber.com.gh,checked,1,https://amber.com.gh,no,no,no,no,no,no
Blackstar Brokerage,https://www.blackstaradvisors.com,checked,3,https://www.blackstaradvisors.com/terms,no,no,yes,yes,yes,no
Bullion Securities,https://bullionholding.com,unreachable,0,,,,,,,
Cdh Securities,https://cdhgroup.com,unreachable,0,,,,,,,
Chapelhill Denham Securities,https://chapelhilldenham.com,checked,2,https://chapelhilldenham.com/invest,no,no,no,no,yes,no
Constant Capital,https://www.constantcap.com.gh,checked,6,https://www.constantcap.com.gh,no,no,no,no,no,no
Databank Brokerage,https://databankgroup.com,checked,2,https://databankgroup.com,no,no,yes,yes,yes,no
Edc Stockbrokers,https://ecobank.com,checked,4,https://ecobank.com,no,no,no,no,no,no
Fincap Securities,https://www.fincaps.net,checked,1,https://www.fincaps.net,no,no,no,no,no,no
First Atlantic Brokerage,https://fabbrokers.com.gh,checked,3,https://fabbrokers.com.gh/securities-trading/,no,no,no,no,yes,yes
Firstbanc Brokerage,https://firstbancgroup.com,unreachable,0,,,,,,,
Ic Securities,https://www.ic.africa,checked,2,https://www.ic.africa,no,no,no,no,yes,no
Laurus Securities,https://laurusafrica.com,checked,2,https://laurusafrica.com/services/,no,no,no,no,yes,yes
Merban Stockbrokers,https://umbcapital.com,checked,2,https://umbcapital.com,no,no,no,no,no,no
Nthc Securities,https://securities.nthc.com.gh,checked,6,https://securities.nthc.com.gh,no,no,no,no,no,no
Petra Securities,https://petrasecurities.com,unreachable,0,,,,,,,
Republic Securities,https://republicinvestmentsgh.com,checked,2,https://republicinvestmentsgh.com/service-products,no,yes,no,no,yes,no
Sarpong Capital Markets,https://www.sarpongcapital.com,unreachable,0,,,,,,,
Sbg Securities,https://www.sbgsecurities.com.gh,checked,2,https://www.sbgsecurities.com.gh/sbgsecuritiesghana/sbg-securities/our-offerings/product-and-services/securities-trading,no,no,yes,no,yes,yes
Serengeti Capital Markets,https://serengeticapital.com/brokerage,checked,6,https://serengeticapital.com/brokerage,no,no,no,no,no,no
Sic Brokerage,https://sicbrokerage.com,checked,4,https://sicbrokerage.com,no,no,no,no,yes,no
Strategic African Securities,https://sasghana.com,unreachable,0,,,,,,,
Teak Tree Brokerage,https://ttbghana.com,checked,5,https://ttbghana.com,no,no,no,no,yes,no
Umb Stockbrokers,https://umbcapital.com,checked,2,https://umbcapital.com,no,no,no,no,no,no
