broker,root_domain,hosts_alive,pages_checked,brokerage,fund_fee,minimum,nonresident,online_open
Amber Securities,amber.com.gh,amber.com.gh,1,,,,,
Blackstar Brokerage,blackstargroup.ai,blackstargroup.ai portal.blackstargroup.ai,4,,,,,
Bullion Securities,bullionholding.com,,0,,,,,
Cdh Securities,cdhgroup.com,,0,,,,,
Chapelhill Denham Securities,chapelhilldenham.com,chapelhilldenham.com,3,,,,,
Constant Capital,constantcap.com.gh,constantcap.com.gh,13,,,,,
Databank Brokerage,databankgroup.com,databankgroup.com,2,,,,,
Edc Stockbrokers,ecobank.com,,0,,,,,
Fincap Securities,fincaps.net,fincaps.net,1,,,,,
First Atlantic Brokerage,fabbrokers.com.gh,fabbrokers.com.gh,1,,,,,
Firstbanc Brokerage,firstbancgroup.com,,0,,,,,
Ic Securities,wealth.ic.africa,wealth.ic.africa,4,,,,,
Laurus Securities,laurusafrica.com,laurusafrica.com,1,,,,,
Merban Stockbrokers,umbcapital.com,umbcapital.com,1,,,,,
Nthc Securities,securities.nthc.com.gh,securities.nthc.com.gh,13,,,,,
Petra Securities,petrasecurities.com,,0,,,,,
Republic Securities,republicinvestmentsgh.com,republicinvestmentsgh.com,1,,,,,
Sarpong Capital Markets,sarpongcapital.com,sarpongcapital.com,1,,,,,
Sbg Securities,sbgsecurities.com.gh,,0,,,,,
Serengeti Capital Markets,serengeticapital.com,serengeticapital.com wealth.serengeticapital.com invest.serengeticapital.com app.serengeticapital.com trade.serengeticapital.com trading.serengeticapital.com my.serengeticapital.com client.serengeticapital.com portal.serengeticapital.com online.serengeticapital.com,11,,,,,
Sic Brokerage,sicbrokerage.com,sicbrokerage.com,1,,,,,
Strategic African Securities,sasghana.com,,0,,,,,
Teak Tree Brokerage,ttbghana.com,ttbghana.com portal.ttbghana.com,14,,,,,
Umb Stockbrokers,umbcapital.com,umbcapital.com,1,,,,,
