fee_key,section,fee_name,applies_when,rate,rate_basis,fixed_usd,fixed_ghs,minimum_usd,collected_for,usd_terms,ghs_terms,page,source_file
application,Application,Home Loans application fee,Every application,0.015,loan_amount,,,750,bank,1.5% of loan amount (minimum $750),1.5% of loan amount (minimum GHS equivalent of $750),5,FNBGH_HomeLoans_Pricing_Guide.pdf
registration_title_deposit,Application,Deposit towards registration of title/home loan,Applicant submits indentures,0.02,property_value,500,,,deposit_towards_registration,"2% of the Property value/Price plus $500: 1% to Stamp title, 0.5% to stamp duty on mortgage agreement, 0.5% for presentation and Lodgement fees","2% of the Property value/Price plus GHS equivalent of $500: 1% to Stamp title, 0.5% to stamp mortgage, 0.5% for presentation and Lodgement fees",5,FNBGH_HomeLoans_Pricing_Guide.pdf
registration_title_stamp_title,Application,  of which: stamp title,Applicant submits indentures,0.01,property_value,,,,government_stamp_duty,1% to Stamp title,1% to Stamp title,5,FNBGH_HomeLoans_Pricing_Guide.pdf
registration_title_stamp_mortgage,Application,  of which: stamp duty on mortgage agreement,Applicant submits indentures,0.005,property_value,,,,government_stamp_duty,0.5% to stamp duty on mortgage agreement,0.5% to stamp mortgage,5,FNBGH_HomeLoans_Pricing_Guide.pdf
registration_title_lodgement,Application,  of which: presentation and lodgement fees,Applicant submits indentures,0.005,property_value,,,,not_stated,0.5% for presentation and Lodgement fees,0.5% for presentation and Lodgement fees,5,FNBGH_HomeLoans_Pricing_Guide.pdf
registration_mortgage_only,Application,Mortgage Registration only,Applicant submits Land Title certificate or Registered indenture,0.01,loan_amount,200,,,deposit_towards_registration,"1% of the loan amount plus $200: 0.5% to stamp duty on mortgage agreement, 0.5% for presentation and Lodgement fees","1% of the loan amount plus GHS equivalent of $200: 0.5% to stamp mortgage, 0.5% for presentation and Lodgement fees",5,FNBGH_HomeLoans_Pricing_Guide.pdf
consent_to_mortgage,Application,Consent Required,Where Consent to Mortgage is required,,,200,,,not_stated,Additional $200 where Consent to Mortgage is required. Applicant is required to provide for Consent to Assign before disbursement,Additional GHS equivalent of $200 where Consent to Mortgage is required,5,FNBGH_HomeLoans_Pricing_Guide.pdf
facility_letter_review,Application,Review of Facility Letter,After expiry,,,100,,,bank,$100,$100 (GHS Equivalent),5,FNBGH_HomeLoans_Pricing_Guide.pdf
construction_conversion,Home Completion/Construction,Conversion Fee,Paid at the end of the completion phase,0.01,loan_amount_converted,,,,bank,1% of the loan amount to be converted,1% of the loan amount to be converted,5,FNBGH_HomeLoans_Pricing_Guide.pdf
late_payment,Delinquency Rate,Penalty due for late payment,Instalment in arrears,0.06,per_annum_above_borrower_rate_on_arrears,,,,bank,6% per annum above mortgagor's prevailing interest rate. Paid on the total installment/repayment in arrears,same,5,FNBGH_HomeLoans_Pricing_Guide.pdf
default_interest,Default Charges,Default interest rate,Applicable after 90 days in arrears,0.06,per_annum_above_borrower_rate_on_arrears,,,,bank,6% per annum above mortgagor's prevailing interest rate. Paid on the total amount in arrears,same,5,FNBGH_HomeLoans_Pricing_Guide.pdf
demand_letter,Default Charges,Demand Letter,,,,100,,,bank,$100,USD 100 (GHS equivalent),5,FNBGH_HomeLoans_Pricing_Guide.pdf
statement_email,Additional Servicing Fees,"Home Loan Statement, email",,0,,,,,bank,Free,Free,6,FNBGH_HomeLoans_Pricing_Guide.pdf
statement_hard_copy,Additional Servicing Fees,"Home Loan Statement, hard copy",Per page,,,,6,,bank,GHS 6 per page,GHS 6 per page,6,FNBGH_HomeLoans_Pricing_Guide.pdf
visa_letter,Additional Servicing Fees,Introductory Letter for Visa Application,Per document,,,,100,,bank,GHS 100 per document,GHS 100 per document,6,FNBGH_HomeLoans_Pricing_Guide.pdf
document_copies,Additional Servicing Fees,"Additional copies of documents (Indentures, Stamped Home Loan Agreement etc.)",Per document,,,,25,,bank,GHS 25 per document,GHS 25 per document,6,FNBGH_HomeLoans_Pricing_Guide.pdf
clearance_letter,Additional Servicing Fees,Clearance Letter,Per document,,,,50,,bank,GHS 50 per document,GHS 50 per document,6,FNBGH_HomeLoans_Pricing_Guide.pdf
confirmation_letter,Additional Servicing Fees,Confirmation Letters,Per document,,,,30,,bank,GHS 30 per document,GHS 30 per document,6,FNBGH_HomeLoans_Pricing_Guide.pdf
prepayment_notice,Loan Prepayment,Prepayment with 20 days' prior notice,,0.0025,amount_prepaid,,,,bank,0.25% of amount being prepaid,same,6,FNBGH_HomeLoans_Pricing_Guide.pdf
prepayment_no_notice,Loan Prepayment,Prepayment without 20 days' prior notice,,0.0025,amount_prepaid_plus_one_month_interest,,,,bank,"0.25% of amount being prepaid, plus 1-month additional interest payment for the month in question",same,6,FNBGH_HomeLoans_Pricing_Guide.pdf
payment_holiday,Loan Restructuring,Moratorium/Payment Holiday Request,,0.01,outstanding_balance,,,,bank,1% of outstanding balance,same,6,FNBGH_HomeLoans_Pricing_Guide.pdf
restructuring,Loan Restructuring,Loan restructuring,,0.01,restructured_amount,,,,bank,1% of restructured amount,same,6,FNBGH_HomeLoans_Pricing_Guide.pdf
deed_of_discharge,Others,Preparation of Deed of Discharge,Listed under 'New fee waivers',0,,,,,bank,Free,Free,6,FNBGH_HomeLoans_Pricing_Guide.pdf
bill_of_quantities_review,Others,Review of Bills of Quantities,Listed under 'New fee waivers',0,,,,,bank,Free,Free,6,FNBGH_HomeLoans_Pricing_Guide.pdf
