provider,source_file,doc_date,page,category,product,fee_key,fee_name,applies_when,rate,rate_period,rate_basis,fixed_amount,currency,minimum_or_cap,collected_for,document_wording
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,processing_resident,Processing Fee - Resident Ghanaian,Resident Ghanaian,0.015,one_off,not_stated,,,,bank,1.5%
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,facility_resident,Facility Fee - Resident Ghanaian,Resident Ghanaian,0.015,one_off,not_stated,,,,bank,1.5%
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,processing_nrg,Processing Fee - NRG,NRG (label not defined in guide),0.015,one_off,not_stated,,,min USD 250 / GBP 150,bank,1.5%  Min. USD $250 / GBP £150
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,facility_nrg,Facility Fee - NRG,NRG (label not defined in guide),0.015,one_off,not_stated,,,,bank,1.5%
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,renewal_letter_lcl,Renewal of Expired Facility Letter,LCL (label not defined in guide),,one_off,,50,GHS,,bank,LCL GHS 50.00
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,renewal_letter_pshomes,Renewal of Expired Facility Letter,PSHOMES (label not defined in guide),,one_off,,20,GHS,,bank,PSHOMES- GHS 20.00
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,service_fee_rb_usd,Mortgage Service Fee (Annual),RB (label not defined in guide),,year,,100,USD,,bank,RB- USD $100.00
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,service_fee_rb_gbp,Mortgage Service Fee (Annual),RB (label not defined in guide),,year,,60,GBP,,bank,RB – GBP £60.00
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,service_fee_rb_ghs,Mortgage Service Fee (Annual),RB (label not defined in guide),,year,,100,GHS,,bank,RB – GHS 100.00
republic-bank-ghana,TARIFF-GUIDE_MARCH2026-PUBLIC-V2.pdf,March 2026 (p12 'CURRENT UPDATE' MARCH 2026); all fees exclude taxes (p11),7,mortgage,mortgage,service_fee_flex_ghs,Mortgage Service Fee (Annual),FLEX (label not defined in guide),,year,,50,GHS,,bank,FLEX GHS 50.00
