provider,source_file,doc_date,page,category,product,fee_key,fee_name,applies_when,rate,rate_period,rate_basis,fixed_amount,currency,minimum_or_cap,collected_for,document_wording
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,2,account,Individual/retail current account,cot_maintenance_band_1,COT / account maintenance charge,"Band GHS 0.00 - 2,999.00 (what the band measures is not stated)",,not_stated,,5,GHS,,bank,"0.00 - 2,999.00 - GHS5.00"
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,2,account,Individual/retail current account,cot_maintenance_band_2,COT / account maintenance charge,"Band GHS 3,000.00 - 5,999.00 (what the band measures is not stated)",,not_stated,,10,GHS,,bank,"3,000.00 - 5,999.00 - GHS10.00"
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,2,account,Individual/retail current account,cot_maintenance_band_3,COT / account maintenance charge,"Band GHS 6,000.00 - 9,999.00 (what the band measures is not stated)",,not_stated,,15,GHS,,bank,"6,000.00 - 9,999.00 - GHS15.00"
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,2,account,Individual/retail current account,cot_maintenance_band_4,COT / account maintenance charge,"Band GHS 10,000.00 - 19,999.00 (what the band measures is not stated)",,not_stated,,30,GHS,,bank,"10,000.00 - 19,999.00 - GHS30.00"
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,2,account,Individual/retail current account,cot_maintenance_band_5,COT / account maintenance charge,"Band GHS 20,000.00 - 59,999.00 (what the band measures is not stated)",,not_stated,,100,GHS,,bank,"20,000.00 - 59,999.00 - GHS100.00"
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,2,account,Individual/retail current account,cot_maintenance_band_6,COT / account maintenance charge,"Band GHS 60,000.00 - 99,999.00 (what the band measures is not stated)",,not_stated,,150,GHS,,bank,"60,000.00 - 99,999.00 - GHS150.00"
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,2,account,Individual/retail current account,cot_maintenance_band_7,COT / account maintenance charge,"Band GHS 100,000.00 - Above (what the band measures is not stated)",,not_stated,,200,GHS,,bank,"100,000.00 - Above - GHS200.00"
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,account,Foreign currency account (FCA),fca_maintenance,Maintenance fee (USD),,,not_stated,,5,USD,,bank,USD5.00
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,personal_loan,Consumer loans,processing_fee,Processing Fee,,0.02,one_off,not_stated,,,,bank,2.00%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,personal_loan,Consumer loans,insurance_fee,Insurance Fee,,0.015,one_off,not_stated,,,,bank,1.50%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,personal_loan,Consumer loans,interest_margin_min,Interest Rate (lowest risk premium),,0.01,year,margin_over_grr,,,,bank,GRR + Risk Premium (1.00%-12.00%)
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,personal_loan,Consumer loans,interest_margin_max,Interest Rate (highest risk premium),,0.12,year,margin_over_grr,,,,bank,GRR + Risk Premium (1.00%-12.00%)
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,personal_loan,Flexi Loan,processing_fee,Processing Fee,,0.017,one_off,not_stated,,,,bank,1.70%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,personal_loan,Flexi Loan,insurance_fee,Insurance Fee,,0.02,one_off,not_stated,,,,bank,2.00%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,personal_loan,Flexi Loan,interest_margin_min,Interest Rate (lowest risk premium),,0.01,year,margin_over_grr,,,,bank,GRR + Risk Premium (1.00%-12.00%)
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,personal_loan,Flexi Loan,interest_margin_max,Interest Rate (highest risk premium),,0.12,year,margin_over_grr,,,,bank,GRR + Risk Premium (1.00%-12.00%)
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,personal_loan,No Wahala / Standard Living / Flexi Loan,early_repayment,Loan pre-liquidation,,0.0025,one_off,not_stated,,,,bank,0.25%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,overdraft,Temporary overdraft (TOD),processing_fee,Processing Fee,,0.02,one_off,not_stated,,,,bank,2.00%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,overdraft,Temporary overdraft (TOD),monitoring_fee,Monitoring Fee,,0.01,not_stated,not_stated,,,,bank,1.00%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,overdraft,Temporary overdraft (TOD),interest_margin_min,Interest Rate (minimum margin),,0.085,year,margin_over_grr_minimum,,,,bank,Interest Rate (minimum margin of at least 8.50%) GRR + Risk Premium (1.00%-12.00%)
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,overdraft,Temporary overdraft (TOD),interest_margin_max,Interest Rate (highest risk premium),,0.12,year,margin_over_grr,,,,bank,Interest Rate (minimum margin of at least 8.50%) GRR + Risk Premium (1.00%-12.00%)
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,guarantee,Guarantees,processing_fee,Processing Fee,,0.02,one_off,not_stated,,,,bank,2.00%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,guarantee,Guarantees,monitoring_fee,Monitoring Fee,,0.01,not_stated,not_stated,,,,bank,1.00%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,debit_card,UBA debit cards (Visa and Mastercard),issuance,Issuance Fee,,,one_off,,25,GHS,,bank,GHS25.00
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,debit_card,UBA debit cards (Visa and Mastercard),maintenance,Card Maintenance Fee,,,not_stated,,10,GHS,,bank,GHS10.00
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,debit_card,UBA debit cards (Visa and Mastercard),atm_off_us,Withdrawal Off-US ATM,,0.02,per_transaction,amount,,,,bank,2% GHS2.00
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,debit_card,UBA debit cards (Visa and Mastercard),atm_international,Withdrawal on International ATM,,0.03,per_transaction,amount,3,GHS,,bank,3% + GHS3.00
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,debit_card,UBA debit cards (Visa and Mastercard),pos_international,International POS Transaction,,0.03,per_transaction,amount,,,,bank,3%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,7,debit_card,UBA debit cards (Visa and Mastercard),web_international,International Web Transaction,,0.03,per_transaction,amount,,,,bank,3%
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,savings,Term/fixed deposits,fd_break_lt50,Term/fixed deposit pre-liquidation charge,Maturity period less than 50%,0.5,one_off,interest_amount,,,,bank,50% of Interest Amount
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,savings,Term/fixed deposits,fd_break_50_60,Term/fixed deposit pre-liquidation charge,Maturity period 50% - 60%,0.4,one_off,interest_amount,,,,bank,40% of Interest Amount
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,savings,Term/fixed deposits,fd_break_60_70,Term/fixed deposit pre-liquidation charge,Maturity period 60% - 70%,0.3,one_off,interest_amount,,,,bank,30% of Interest Amount
united-bank-for-africa-ghana,Tariff-Guide-2026.pdf,,6,savings,Term/fixed deposits,fd_break_70_100,Term/fixed deposit pre-liquidation charge,Maturity period 70% - less than 100%,0.2,one_off,interest_amount,,,,bank,20% of Interest Amount
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,5,credit_card,Visa Credit Card,issuance,Issuance Fee,,,one_off,,40,GHS,,bank,GH₵ 40.00
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,5,credit_card,Visa Credit Card,annual_fee,Maintenance Fee,Upfront/annual,,year,,100,GHS,,bank,GH₵ 100.00 upfront/annual
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,5,credit_card,Visa Credit Card,late_payment,Late Payment Fee,,0.05,per_occurrence,not_stated,,,,bank,5%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,5,credit_card,Visa Credit Card,over_limit,Over Limit Fee,,,per_occurrence,,200,GHS,,bank,GH₵ 200.00
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,5,credit_card,Visa Credit Card,interest_purchases,Interest Rate (Annually) - POS,,0.425,year,purchases,,,,bank,POS - 42.5%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,5,credit_card,Visa Credit Card,interest_cash,Interest Rate (Annually) - ATM,,0.525,year,cash_withdrawals,,,,bank,ATM - 52.5%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,5,credit_card,Visa Credit Card,atm_remote,Domestic ATM Remote-On-Us,,0.03,per_transaction,amount,5,GHS,,bank,GH₵ 5.00 + 3%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,5,credit_card,Visa Credit Card,foreign_transactions,Fees for International Card Transactions,,0.075,per_transaction,amount,,,,bank,7.5%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,6,credit_card,MasterCard Platinum Credit Card,issuance,Issuance Fee,,,one_off,,40,GHS,,bank,GH₵ 40.00
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,6,credit_card,MasterCard Platinum Credit Card,annual_fee,Maintenance Fee,Upfront/annual,,year,,100,GHS,,bank,GH₵ 100.00 Upfront/Annual
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,6,credit_card,MasterCard Platinum Credit Card,late_payment,Late Payment,,0.05,per_occurrence,not_stated,,,,bank,5%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,6,credit_card,MasterCard Platinum Credit Card,over_limit,Over Limit Fee,,,per_occurrence,,200,GHS,,bank,GH₵ 200.00
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,4,debit_card,Visa & Mastercard Debit Cards,issuance,Issuance Fee,,,one_off,,30,GHS,,bank,GH₵ 30.00
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,4,debit_card,Visa & Mastercard Debit Cards,maintenance,Monthly Maintenance Fee,,,month,,8,GHS,,bank,GH₵ 8.00
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,4,debit_card,Visa & Mastercard Debit Cards,atm_remote,Domestic ATM Remote-On-Us,,0.01,per_transaction,amount,3,GHS,,bank,GH₵ 3.00 + 1%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,4,debit_card,Visa & Mastercard Debit Cards,atm_international,International ATM,,0.025,per_transaction,amount,2,USD,,bank,$2.00 + 2.5%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,4,debit_card,Visa & Mastercard Debit Cards,foreign_transactions,Fees for International Card Transactions,,0.075,per_transaction,amount,,,,bank,7.5%
zenith-bank-ghana,2026-tariff-guide-july-2026-update.pdf,,12,account,Current account (individuals),cot,COT - Individuals,,0.001,not_stated,debit_turnover,,,"min GHS 2, max GHS 10",bank,GH₵ 1.00 per mille Min GH₵ 2.00/Max GH₵ 10.00
