provider,source_file,doc_date,page,category,product,fee_key,fee_name,applies_when,rate,rate_period,rate_basis,fixed_amount,currency,minimum_or_cap,collected_for,document_wording
absa-bank-ghana,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,50.0,GHS,,bank,GH¢50
access-bank-ghana,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,50.0,GHS,,bank,GH¢50
agricultural-development-bank,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,50.0,GHS,,bank,GH¢ 50
bank-of-africa-ghana,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,100.0,GHS,,bank,GH¢100
calbank,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,50.0,GHS,,bank,GH¢50
consolidated-bank-ghana,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,50.0,GHS,,bank,GH¢ 50
ecobank-ghana,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,50.0,GHS,,bank,GH¢50
first-bank-ghana,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,50.0,GHS,,bank,GH¢50
fidelity-bank-ghana,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,50.0,GHS,,bank,GH¢50
first-atlantic-bank,Survey-of-Bank-Charges-As-at-end-September-2025.pdf,,5,savings,Savings account,initial_deposit,Savings Account: Initial Deposit Required,,,one_off,,20.0,GHS,,bank,GH¢20
