provider,source_file,doc_date,page,category,product,fee_key,fee_name,applies_when,rate,rate_period,rate_basis,fixed_amount,currency,minimum_or_cap,collected_for,document_wording
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,mortgage,Purple Plus Mortgage,interest_rate_ghs,Interest rate (GHS),"Tenor up to 7 years; equity contribution 20%; obligor limit GHS equivalent of USD350,000 (Mass Affluent) and USD1,500,000 (HNI/UHNI)",0.08,year,margin_over_grr_minimum,,,,bank,GRR plus a minimum of 8% and 12% for USD
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,mortgage,Purple Plus Mortgage,interest_rate_usd,Interest rate (USD),"Tenor up to 7 years; equity contribution 20%; obligor limit GHS equivalent of USD350,000 (Mass Affluent) and USD1,500,000 (HNI/UHNI)",0.12,year,usd_as_printed,,,,bank,GRR plus a minimum of 8% and 12% for USD
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,personal_loan,Atlantic Personal Loan,interest_rate,Interest Rate,"Obligor limit GHS 300,000 subject to DSR; tenure 48 months max",0.05,year,margin_over_grr_minimum,,,,bank,GRR + Minimum of 5%
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,personal_loan,Atlantic Personal Loan,facility_fee,Facility Fee,"Obligor limit GHS 300,000 subject to DSR; tenure 48 months max",0.02,one_off,facility_amount,,,,bank,2.00 % flat on facility amount payable upfront
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,personal_loan,Atlantic Personal Loan,processing_fee,Processing fee,"Obligor limit GHS 300,000 subject to DSR; tenure 48 months max",0.02,one_off,not_stated,,,,bank,2.00%
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,personal_loan,CAGD Deductible Personal Loans,interest_rate,Interest rate,"Facility amount up to GHS150,000",0.365,year,fixed,,,,bank,36.50% per annum
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,personal_loan,CAGD Deductible Personal Loans,facility_fee,Facility fees,"Facility amount up to GHS150,000",0.025,one_off,not_stated,,,,bank,"2.50% Flat, payable upfront"
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,personal_loan,CAGD Deductible Personal Loans,controller_fee,Controller fees,"Facility amount up to GHS150,000",0.03,month,monthly_repayment_amount,,,,bank,3% of monthly repayment amount
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,personal_loan,CAGD Deductible Personal Loans,management_fee,Management fee,"Facility amount up to GHS150,000",0.01,not_stated,not_stated,,,,bank,1.00%
first-atlantic-bank,Tariff_Guide_24th_August_2026.pdf,none stated; file name and PDF metadata give 24 August 2026,2,personal_loan,CAGD Deductible Asset Finance (Hi-Life),interest_rate,Interest rate,"Facility amount up to GHS40,000",0,year,fixed,,,,bank,Nil
