provider,source_file,doc_date,page,category,product,fee_key,fee_name,applies_when,rate,rate_period,rate_basis,fixed_amount,currency,minimum_or_cap,collected_for,document_wording
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Standard Current Account,opening_balance,Initial Opening Balance,,,one_off,,1000,GHS,,bank,"1,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Standard Current Account,service_charge,Monthly Service Charge,,,month,,25,GHS,,bank,25
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Access 247,opening_balance,Initial Opening Balance,,,one_off,,500,GHS,,bank,500
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Access 247,service_charge,Monthly Service Charge,,,month,,25,GHS,,bank,25
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,e-Current Account,opening_balance,Initial Opening Balance,,,one_off,,2000,GHS,,bank,"2,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,e-Current Account,service_charge,Monthly Service Charge,,,month,,25,GHS,,bank,25
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,e-Youth Account,opening_balance,Initial Opening Balance,,,one_off,,1000,GHS,,bank,"1,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,e-Youth Account,minimum_balance,Minimum Balance,,,not_stated,,500,GHS,,bank,500
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,e-Youth Account,service_charge,Monthly Service Charge,,,month,,25,GHS,,bank,25
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Premium Current Account,opening_balance,Initial Opening Balance,Priority Banking,,one_off,,50000,GHS,,bank,"50,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Premium Current Account,service_charge,Monthly Service Charge,"Priority Banking; no monthly service charge for average balances above GHS 300,000",,month,,80,GHS,,bank,"80 (* No Monthly Service Charge for average balances above GHS 300,000)"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Diva Club Current Account,opening_balance,Initial Opening Balance,Priority Banking,,one_off,,50000,GHS,,bank,"50,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,account,Diva Club Current Account,service_charge,Monthly Service Charge,"Priority Banking; no monthly service charge for average balances above GHS 300,000",,month,,80,GHS,,bank,"80 (* No Monthly Service Charge for average balances above GHS 300,000)"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,Savings Plus,opening_balance,Initial Opening Balance,,,one_off,,4000,GHS,,bank,"4,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,Savings Plus,minimum_balance,Minimum Balance,,,not_stated,,2000,GHS,,bank,"2,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,Savings Plus,service_charge,Monthly Service Charge,,0,month,,,,,bank,FREE
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,My Dream Account,opening_balance,Initial Opening Balance,,,one_off,,2000,GHS,,bank,"2,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,My Dream Account,minimum_balance,Minimum Balance,,,not_stated,,500,GHS,,bank,500
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,My Dream Account,service_charge,Monthly Service Charge,,0,month,,,,,bank,FREE
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,e-Savings Account,opening_balance,Initial Opening Balance,,,one_off,,500,GHS,,bank,500
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,e-Savings Account,minimum_balance,Minimum Balance,,,not_stated,,100,GHS,,bank,100
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,e-Savings Account,service_charge,Monthly Service Charge,,0,month,,,,,bank,FREE
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,Premium Savings Account,opening_balance,Initial Opening Balance,,,one_off,,50000,GHS,,bank,"50,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,Premium Savings Account,minimum_balance,Minimum Balance,,,not_stated,,10000,GHS,,bank,"10,000"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,Premium Savings Account,service_charge,Monthly Service Charge,,0,month,,,,,bank,FREE
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,savings,My Dream Account,withdrawal_rule,Branch withdrawals,,,,,,,,bank,"After 4 branch withdrawals, customer forfeits interest for the month"
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa Gold,issuance,Card issuance fee,,,one_off,,40,GHS,,bank,40
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa Gold,maintenance,Maintenance fee per month,,,month,,20,GHS,,bank,20
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa Platinum,issuance,Card issuance fee,,,one_off,,200,GHS,,bank,200
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa Platinum,maintenance,Maintenance fee per month,,,month,,30,GHS,,bank,30
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa Infinite (by invitation),issuance,Card issuance fee,,,one_off,,300,GHS,,bank,300
standard-chartered-bank-ghana,gh-scb-tariff.pdf,,3,debit_card,Visa Infinite (by invitation),maintenance,Maintenance fee per month,,,month,,50,GHS,,bank,50
