apr,bank,conditions,domain,fees,fixed,minimum,pages,rate,tiered
11.03%,Standard Chartered Bank (Ghana),,www.sc.com,,,,1,,
14.51%,Ecobank Ghana,,ecobank.com,,,,1,,
15.17%,Stanbic Bank Ghana,"notice period, simply withdraw or transfer your cash Top rates Get higher interest rates the longer you",www.stanbicbank.com.gh,,,"Minimum monthly income GHS 500,000",23,,
16.13%,Absa Bank Ghana,withdrawals per month (extra withdrawals cost GHS5) Open a Bonus Savings Account Resume application Premi,www.absa.com.gh,monthly maintenance fee of only GHS75 Complimentary credit card Earn 100% of yo,,"minimum balance of GHS200,000",11,,7% discount for GHS500 and above
16.41%,CalBank,withdrawals per month,www.calbank.net,monthly service charge Free monthly e-statements Competitive and tiered int,"Call Account Rates as at Band(Ghs) Rate(%) 0 &#8211; 49,999 0.00%",Initial deposit of GHS 500,25,,20% of the total account balance Competitive and tiered
16.50%,First National Bank (Ghana),notice period for withdrawals,www.firstnationalbank.com.gh,,Fixed Deposit (GHS) Published at 2025-08-11 Amount Month 3 Month 12 0 - 999 0.00%,Minimum deposit of GHS 100,16,1% Partner Banking 1% Savings,
16.59%,First Atlantic Bank,,www.firstatlanticbank.com.gh,,,,26,,
18.26%,Prudential Bank,,www.prudentialbank.com.gh,,,,11,,
18.91%,OmniBSIC Bank Ghana,,www.omnibsic.com.gh,,,,1,,
19.04%,Societe General Ghana,,www.societegenerale.com.gh,,,,1,,
19.79%,United Bank for Africa (Ghana),,www.ubagroup.com,,,,1,,
20.98%,Access Bank Ghana,,www.ghana.accessbankplc.com,,,Minimum working capital of GHS 200,26,,
21.13%,First Bank Ghana,,www.fbnbankghana.com,,,,6,,
22.25%,Zenith Bank (Ghana),withdrawal limit than the regular Zenith Visa Debit Card,www.zenithbank.com.gh,account maintenance fees Current account Available in Ghana Cedis only Minimum,,"minimum of GHS10,000",26,,
22.75%,Republic Bank (Ghana),"withdrawals per month Monthly service charge, not applicable (However, fees apply if withdrawal limit is",www.republicghana.com,"Monthly service charge, not applicable (However, fees apply if withdrawal l",,Minimum account operating balance shall not be less than GHS50,17,Interest rate of 5% per annum,Tiered interest rate up to 8%
23.42%,Bank of Africa Ghana,before the maturity date will attract a penalty,www.boaghana.com,COT charges Free cheque books Free initial issuance of SESAME A,,"Minimum Net monthly salary of GHS 500 Minimum Loan Limit GHS 1,000",11,,
24.79%,Fidelity Bank Ghana,,www.fidelitybank.com.gh,,,,0,,
25.44%,Consolidated Bank Ghana,,www.cbg.com.gh,monthly service fee is charged (refer to tariff guide) Tiered interest rate,,"minimum opening balance of GHS1,000",13,,
27.48%,Agricultural Development Bank,,www.agricbank.com,,,,1,,
29.54%,GCB Bank,,www.gcbbank.com.gh,,,,0,,
33.58%,Guaranty Trust Bank (Ghana),,www.gtbghana.com,COT Features &amp; Benefits Earn a competitive interest pegged,,,26,18% per annum interest,
