provider,site,status,best_price_url,has_prices,has_yield,dates_on_page,pdf_links,wb_snapshots,wb_distinct,wb_first,wb_last,wb_note,MANUAL_cadence,MANUAL_history_available,MANUAL_fee_disclosed,MANUAL_minimum_disclosed,MANUAL_format,MANUAL_verdict
Databank,https://www.databankgroup.com,200,,False,False,,1,0,0,,,cdx unavailable,,,,,,
Fidelity Securities (Fidelity Bank Ghana),https://www.fidelitybank.com.gh,307,,False,False,,0,0,0,,,,,,,,,
IC Asset Managers,https://www.ic.africa,200,,False,False,,0,0,0,,,cdx unavailable,,,,,,
EDC Investments,https://www.edcinvestments.com,0,,False,False,,0,0,0,,,,,,,,,
Galaxy Capital,https://www.galaxycapitalgh.com,0,,False,False,,0,0,0,,,,,,,,,
Republic Investments Ghana,https://www.republicghana.com,200,,False,False,,0,0,0,,,cdx unavailable,,,,,,
NTHC,https://www.nthcghana.com,200,,False,False,,0,0,0,,,cdx unavailable,,,,,,
Petra Trust / Petra Advisory,https://www.petratrust.com,530,,False,False,,0,0,0,,,,,,,,,
Stanbic Investment Management,https://www.stanbicbank.com.gh,200,https://www.stanbicbank.com.gh/gh/personal/products-and-services/grow-your-money/sims-accounts/stanbic-cash-trust-fund,True,True,,0,0,0,,,cdx unavailable,,,,,,
Black Star Group,https://blackstargroup.ai,200,https://blackstargroup.ai/funds/fiap,True,True,01-01-2020; 01-01-2021; 01-01-2022; 01-02-2020,0,0,0,,,cdx unavailable,,,,,,
