wpdmdl,fund,period,title,slug,fund_title,fund_slug,period_title,period_slug,conflict,authoritative,url
7873,pips,2026-02,FEBRUARY 2026 PIPS FACT SHEET,february-2026-pips-fact-sheet,pips,pips,2026-02,2026-02,,no - verify against PDF contents,https://faam.com.gh/download/february-2026-pips-fact-sheet/?wpdmdl=7873&refresh=6a88c419ee2531787347993
7853,pips,2026-01,JANUARY 2026 PIPS FACT SHEET,january-2026-pips-fact-sheet,pips,pips,2026-01,2026-01,,no - verify against PDF contents,https://faam.com.gh/download/january-2026-pips-fact-sheet/?wpdmdl=7853&refresh=6a88c419f06611787347993
7845,pips,2025-12,DECEMBER 2025 PIPS FACT SHEET,december-2025-faif-fact-sheet-2,pips,faif,2025-12,2025-12,fund: title=pips slug=faif,no - verify against PDF contents,https://faam.com.gh/download/december-2025-faif-fact-sheet-2/?wpdmdl=7845&refresh=6a88c419f2b3d1787347993
7838,pips,2025-11,NOVEMBER 2025 PIPS FACT SHEET,november-2025-pips-fact-sheet,pips,pips,2025-11,2025-11,,no - verify against PDF contents,https://faam.com.gh/download/november-2025-pips-fact-sheet/?wpdmdl=7838&refresh=6a88c41a013031787347994
7837,pips,2025-10,OCTOBER 2025 PIPS FACT SHEET,october-2025-pips-fact-sheet,pips,pips,2025-10,2025-10,,no - verify against PDF contents,https://faam.com.gh/download/october-2025-pips-fact-sheet/?wpdmdl=7837&refresh=6a88c41a038381787347994
7834,pips,2025-09,SEPTEMBER 2025 PIPS FACT SHEET,september-2025-pips-fact-sheet,pips,pips,2025-09,2025-09,,no - verify against PDF contents,https://faam.com.gh/download/september-2025-pips-fact-sheet/?wpdmdl=7834&refresh=6a88c41a05a131787347994
7829,pips,2025-08,AUGUST 2025 PIPS FACT SHEET,august-2025-pips-fact-sheet,pips,pips,2025-08,2025-08,,no - verify against PDF contents,https://faam.com.gh/download/august-2025-pips-fact-sheet/?wpdmdl=7829&refresh=6a88c41a07bd41787347994
7826,pips,2025-07,JULY 2025 PIPS FACT SHEET,july-2025-pips-fact-sheet,pips,pips,2025-07,2025-07,,no - verify against PDF contents,https://faam.com.gh/download/july-2025-pips-fact-sheet/?wpdmdl=7826&refresh=6a88c41a09ef11787347994
7821,pips,2025-06,JUNE 2025 PIPS FACT SHEET,june-2025-pips-fact-sheet,pips,pips,2025-06,2025-06,,no - verify against PDF contents,https://faam.com.gh/download/june-2025-pips-fact-sheet/?wpdmdl=7821&refresh=6a88c41a0c15b1787347994
7817,pips,2025-05,MAY 2025 PIPS FACT SHEET,may-2025-pips-fact-sheet,pips,pips,2025-05,2025-05,,no - verify against PDF contents,https://faam.com.gh/download/may-2025-pips-fact-sheet/?wpdmdl=7817&refresh=6a88c41a0e3b31787347994
7813,pips,2025-04,APRIL 2025 PIPS FACT SHEET,april-2025-pips-fact-sheet-2,pips,pips,2025-04,2025-04,,no - verify against PDF contents,https://faam.com.gh/download/april-2025-pips-fact-sheet-2/?wpdmdl=7813&refresh=6a88c41a105c01787347994
