as_of,lbma_usd_oz,usd_ghs,source,ghs_1_00oz,ghs_0_50oz,ghs_0_25oz,spot_ghs_oz,premium_pct,ghs_per_oz_via_half,ghs_per_oz_via_quarter,small_coin_penalty_pct
2026-06-01,4545.95,11.735,ggc-2026-06-01.pdf,55181.16,27949.58,14357.61,53346.72,3.44,55899.16,57430.44,4.08
2026-06-02,4449.3,11.745,ggc-2026-06-02.pdf,54075.69,27397.0,14081.49,52257.03,3.48,54794.0,56325.96,4.16
2026-06-03,4503.85,11.76,ggc-2026-06-03.pdf,54795.43,27757.09,14261.8,52965.28,3.46,55514.18,57047.2,4.11
2026-06-05,4496.95,11.81,ggc-2026-06-05.pdf,54944.17,27832.23,14300.24,53108.98,3.46,55664.46,57200.96,4.11
2026-06-08,4365.15,11.835,ggc-2026-06-08.pdf,,27098.77,13933.94,51661.55,,54197.54,55735.76,
2026-06-10,4327.65,11.74,ggc-2026-06-10.pdf,,26660.69,13713.25,50806.61,,53321.38,54853.0,
2026-06-11,4170.95,11.5,ggc-2026-06-11.pdf,49706.1,25208.44,12982.96,47965.92,3.63,50416.88,51931.84,4.48
2026-06-12,4074.85,11.1,ggc-2026-06-12.pdf,46906.93,23802.72,12273.15,45230.83,3.71,47605.44,49092.6,4.66
2026-06-15,4185.95,11.1,ggc-2026-06-15.pdf,48158.64,24428.58,12586.08,46464.04,3.65,48857.16,50344.32,4.54
2026-06-16,4355.2,11.15,ggc-2026-06-16.pdf,50289.4,25494.72,13120.02,48560.48,3.56,50989.44,52480.08,4.36
2026-06-17,4335.8,11.2,ggc-2026-06-17.pdf,50292.77,25497.18,13122.11,48560.96,3.57,50994.36,52488.44,4.37
2026-06-18,4341.85,11.2,ggc-2026-06-18.pdf,50361.55,25531.56,13139.31,48628.72,3.56,51063.12,52557.24,4.36
2026-06-19,4236.15,11.2,ggc-2026-06-19.pdf,49159.95,24930.77,12838.91,47444.88,3.61,49861.54,51355.64,4.47
2026-06-22,4150.9,11.2,ggc-2026-06-22.pdf,48190.83,24446.2,12596.63,46490.08,3.66,48892.4,50386.52,4.56
2026-06-23,4196.95,11.225,ggc-2026-06-23.pdf,48822.27,24762.31,12755.11,47110.76,3.63,49524.62,51020.44,4.5
2026-06-24,4135.5,11.225,ggc-2026-06-24.pdf,48122.14,24412.24,12580.08,46420.99,3.66,48824.48,50320.32,4.57
2026-06-25,4024.45,11.225,ggc-2026-06-25.pdf,46856.91,23779.63,12263.77,45174.45,3.72,47559.26,49055.08,4.69
2026-06-26,4001.8,11.275,ggc-2026-06-26.pdf,46804.82,23754.35,12252.0,45120.3,3.73,47508.7,49008.0,4.71
2026-06-29,4072.05,11.275,ggc-2026-06-29.pdf,47608.77,24156.33,12452.99,45912.36,3.69,48312.66,49811.96,4.63
2026-06-30,4026.45,11.3075,ggc-2026-06-30.pdf,47221.61,23963.25,12375.02,45529.08,3.72,47926.5,49500.08,4.83
2026-07-10,4130.15,11.435,ggc-2026-07-10.pdf,48953.63,24831.21,12793.21,47228.27,3.65,49662.42,51172.84,4.53
2026-07-13,4099.15,11.46,ggc-2026-07-13.pdf,48699.29,24704.42,12730.25,46976.26,3.67,49408.84,50921.0,4.56
2026-07-14,4039.75,11.49,ggc-2026-07-14.pdf,48133.09,24421.78,12589.46,46416.73,3.7,48843.56,50357.84,4.62
2026-07-15,4075.5,11.505,ggc-2026-07-15.pdf,48612.93,24661.94,12709.79,46888.63,3.68,49323.88,50839.16,4.58
2026-07-16,4062.2,11.515,ggc-2026-07-16.pdf,48499.43,24605.34,12681.67,46776.23,3.68,49210.68,50726.68,4.59
2026-07-17,3993.55,11.535,ggc-2026-07-17.pdf,47779.29,24245.57,12502.13,46065.6,3.72,48491.14,50008.52,4.67
2026-07-20,3995.35,11.545,ggc-2026-07-20.pdf,47841.49,24276.83,12517.93,46126.32,3.72,48553.66,50071.72,4.66
2026-07-21,4003.55,11.565,ggc-2026-07-21.pdf,48020.01,24366.39,12563.06,46301.06,3.71,48732.78,50252.24,4.65
2026-07-22,4052.3,11.585,ggc-2026-07-22.pdf,47956.33,24329.59,12539.39,46945.9,2.15,48659.18,50157.56,4.59
2026-07-23,4155.1,11.615,ggc-2026-07-23.pdf,50012.73,25363.52,13062.49,48261.49,3.63,50727.04,52249.96,4.47
2026-07-24,4044.9,11.615,ggc-2026-07-24.pdf,48713.55,24713.93,12737.7,46981.51,3.69,49427.86,50950.8,4.59
2026-07-27,4067.3,11.6325,ggc-2026-07-27.pdf,49050.89,24882.87,12822.47,47312.87,3.67,49765.74,51289.88,4.56
2026-07-28,4075.0,11.64,ggc-2026-07-28.pdf,49173.25,24944.17,12853.25,47433.0,3.67,49888.34,51413.0,4.55
2026-07-29,4022.2,11.65,ggc-2026-07-29.pdf,48590.84,24653.11,12707.9,46858.63,3.7,49306.22,50831.6,4.61
2026-07-30,4000.85,11.665,ggc-2026-07-30.pdf,48400.15,24558.0,12660.61,46669.92,3.71,49116.0,50642.44,4.63
2026-07-31,4111.05,11.685,ggc-2026-07-31.pdf,49789.53,25253.0,13008.45,48037.62,3.65,50506.0,52033.8,4.51
2026-08-03,4026.6,11.685,ggc-2026-08-03.pdf,48787.93,24752.2,12758.05,47050.82,3.69,49504.4,51032.2,4.6
2026-08-04,4028.15,11.705,ggc-2026-08-04.pdf,48889.24,24803.16,12783.88,47149.5,3.69,49606.32,51135.52,4.59
2026-08-05,4084.2,11.715,ggc-2026-08-05.pdf,49597.18,25157.28,12961.11,47846.4,3.66,50314.56,51844.44,4.53
2026-08-06,4206.6,11.73,ggc-2026-08-06.pdf,51117.51,25917.68,13341.57,49343.42,3.6,51835.36,53366.28,4.4
2026-08-07,4267.85,11.75,ggc-2026-08-07.pdf,51934.54,26326.5,13546.33,50147.24,3.56,52653.0,54185.32,4.33
2026-08-10,4335.55,11.76,ggc-2026-08-10.pdf,52786.53,26752.65,13759.58,50986.07,3.53,53505.3,55038.32,4.27
2026-08-11,4324.45,11.765,ggc-2026-08-11.pdf,52676.27,26697.59,13732.14,50877.15,3.54,53395.18,54928.56,4.28
2026-08-12,4383.35,11.7,ggc-2026-08-12.pdf,53086.69,26901.8,13833.11,51285.19,3.51,53803.6,55332.44,4.23
2026-08-13,4426.65,11.3,ggc-2026-08-13.pdf,51780.62,26242.64,13496.58,50021.14,3.52,52485.28,53986.32,4.26
2026-08-14,4373.0,10.95,ggc-2026-08-14.pdf,49591.61,25142.76,12940.56,47884.35,3.57,50285.52,51762.24,4.38
2026-08-17,4390.7,10.95,ggc-2026-08-17.pdf,49788.33,25241.12,12989.74,48078.16,3.56,50482.24,51958.96,4.36
2026-08-18,4405.8,11.0,ggc-2026-08-18.pdf,50182.63,25439.04,13089.57,48463.8,3.55,50878.08,52358.28,4.34
2026-08-19,4403.5,11.05,ggc-2026-08-19.pdf,50383.31,25540.14,13140.99,48658.68,3.54,51080.28,52563.96,4.33
2026-08-20,4460.7,11.09,ggc-2026-08-20.pdf,51208.26,25953.23,13348.23,49469.16,3.52,51906.46,53392.92,4.27
2026-08-21,4482.95,11.1,ggc-2026-08-21.pdf,51504.79,26101.65,13422.61,49760.74,3.5,52203.3,53690.44,4.24
2026-08-24,4582.1,11.125,ggc-2026-08-24.pdf,52739.58,26719.43,13731.94,50975.86,3.46,53438.86,54927.76,4.15
2026-08-25,4663.7,11.1488,ggc-2026-08-25.pdf,53775.03,27237.52,13991.39,51994.66,3.42,54475.04,55965.56,4.07
2026-08-26,4615.45,11.175,ggc-2026-08-26.pdf,53353.28,27027.04,13886.61,51577.65,3.44,54054.08,55546.44,4.11
2026-08-27,4631.5,11.185,ggc-2026-08-27.pdf,53582.91,27142.02,13944.27,51803.33,3.44,54284.04,55777.08,4.09
2026-08-28,4568.95,11.215,ggc-2026-08-28.pdf,53013.65,26857.84,13802.71,51240.77,3.46,53715.68,55210.84,4.14
