broker,value_traded_ghs,value_share_pct,volume_traded,volume_share_pct,as_of,source
IC SECURITIES,221459646.34,68.08,28434243.0,61.08,2025-02-28,gse-2025-02.pdf
BLACKSTAR BROKERAGE,37891801.86,11.65,6361410.0,13.66,2025-02-28,gse-2025-02.pdf
DATABANK BROKERAGE LIMITED,29151193.98,8.96,4950917.0,10.63,2025-02-28,gse-2025-02.pdf
SBG SECURITIES,17101863.08,5.26,2096875.0,4.5,2025-02-28,gse-2025-02.pdf
LAURUS SECURITIES,10123503.28,3.11,506030.0,1.09,2025-02-28,gse-2025-02.pdf
UMB STOCKBROKERS,2611339.72,0.8,1058268.0,2.27,2025-02-28,gse-2025-02.pdf
SIC BROKERAGE,2119571.66,0.65,521485.0,1.12,2025-02-28,gse-2025-02.pdf
REPUBLIC SECURITIES,1465483.37,0.45,1040669.0,2.24,2025-02-28,gse-2025-02.pdf
STRATEGIC AFRICAN SECURITIES,1438010.6,0.44,523130.0,1.12,2025-02-28,gse-2025-02.pdf
TEAK TREE BROKERAGE,608124.57,0.19,414107.0,0.89,2025-02-28,gse-2025-02.pdf
EDC STOCKBROKERS,369798.26,0.11,176351.0,0.38,2025-02-28,gse-2025-02.pdf
FIRSTBANC BROKERAGE,256973.38,0.08,89744.0,0.19,2025-02-28,gse-2025-02.pdf
FIRSTATLANTIC BROKERAGE LIMITED,218928.91,0.07,55580.0,0.12,2025-02-28,gse-2025-02.pdf
CONSTANT CAPITAL LIMITED,160823.02,0.05,67160.0,0.14,2025-02-28,gse-2025-02.pdf
CHAPELHILL DENHAM SECURITIES,135847.77,0.04,49194.0,0.11,2025-02-28,gse-2025-02.pdf
NTHC SECURITIES,122186.25,0.04,199904.0,0.43,2025-02-28,gse-2025-02.pdf
BULLION SECURITIES LIMITED,36200.8,0.01,9784.0,0.02,2025-02-28,gse-2025-02.pdf
CDH SECURITIES,7489.35,0.0,1325.0,0.0,2025-02-28,gse-2025-02.pdf
IC SECURITIES,197778299.17,48.98,19566490.0,44.57,2025-03-31,gse-2025-03.pdf
CONSTANT CAPITAL LIMITED,111096874.63,27.51,426560.0,0.97,2025-03-31,gse-2025-03.pdf
BLACKSTAR BROKERAGE,24636515.33,6.1,7472398.0,17.02,2025-03-31,gse-2025-03.pdf
STRATEGIC AFRICAN SECURITIES,12774090.07,3.16,713970.0,1.63,2025-03-31,gse-2025-03.pdf
DATABANK BROKERAGE LIMITED,12712889.23,3.15,5235578.0,11.93,2025-03-31,gse-2025-03.pdf
EDC STOCKBROKERS,10668564.87,2.64,691431.0,1.57,2025-03-31,gse-2025-03.pdf
CHAPELHILL DENHAM SECURITIES,9469053.87,2.34,2045429.0,4.66,2025-03-31,gse-2025-03.pdf
SBG SECURITIES,7157787.21,1.77,1708996.0,3.89,2025-03-31,gse-2025-03.pdf
LAURUS SECURITIES,5252954.98,1.3,764435.0,1.74,2025-03-31,gse-2025-03.pdf
REPUBLIC SECURITIES,3131726.42,0.78,1618242.0,3.69,2025-03-31,gse-2025-03.pdf
NTHC SECURITIES,2436417.77,0.6,319745.0,0.73,2025-03-31,gse-2025-03.pdf
TEAK TREE BROKERAGE,1967794.26,0.49,681225.0,1.55,2025-03-31,gse-2025-03.pdf
SIC BROKERAGE,1926009.11,0.48,1309119.0,2.98,2025-03-31,gse-2025-03.pdf
