sector,ticker,closing_vwap,year_high,year_low,issued_shares_mil,market_cap_ghs_mil,pe_ratio,as_of,source
Finance,ACCESS,6.82,6.82,5.2,173.95,1186.32,1.63,2025-02-28,gse-2025-02.pdf
Finance,ADB,5.06,5.06,5.06,1652.68,8362.57,10.97,2025-02-28,gse-2025-02.pdf
Finance,CAL,0.59,0.59,0.35,1081.74,638.22,2.38,2025-02-28,gse-2025-02.pdf
Finance,CALPREF,0.29,0.29,0.29,0.29,47.77,13.85,2025-02-28,gse-2025-02.pdf
Finance,EGH,6.25,6.6,6.25,322.55,2015.95,1.55,2025-02-28,gse-2025-02.pdf
Finance,ETI,0.72,0.72,0.31,24067.75,17328.78,2.79,2025-02-28,gse-2025-02.pdf
Finance,GCB,6.51,6.51,6.37,265.0,1725.15,2.07,2025-02-28,gse-2025-02.pdf
Finance,RBGH,0.6,0.66,0.6,851.97,511.18,2.53,2025-02-28,gse-2025-02.pdf
Finance,SCB,25.01,25.01,23.0,134.76,3370.31,4.4,2025-02-28,gse-2025-02.pdf
Finance,SCBPREF,0.9,0.9,0.9,0.9,17.48,15.73,2025-02-28,gse-2025-02.pdf
Finance,SOGEGH,1.5,1.5,1.5,709.14,1063.71,2.91,2025-02-28,gse-2025-02.pdf
Finance,TBL,0.83,0.83,0.83,200.0,166.0,2.47,2025-02-28,gse-2025-02.pdf
Distribution,GOIL,1.6,1.6,1.52,391.86,626.98,6.19,2025-02-28,gse-2025-02.pdf
Distribution,PBC,0.02,0.02,0.02,480.0,9.6,0.0,2025-02-28,gse-2025-02.pdf
Food And Beverage,CPC,0.02,0.02,0.02,2038.07,40.76,0.0,2025-02-28,gse-2025-02.pdf
Food And Beverage,FML,3.7,3.7,3.7,116.21,429.97,7.93,2025-02-28,gse-2025-02.pdf
Food And Beverage,GGBL,5.62,5.62,5.5,307.59,1728.68,10.3,2025-02-28,gse-2025-02.pdf
Food And Beverage,HORDS,0.1,0.1,0.1,114.95,11.49,0.0,2025-02-28,gse-2025-02.pdf
Food And Beverage,SAMBA,0.55,0.55,0.55,5.98,3.29,0.0,2025-02-28,gse-2025-02.pdf
Ict,CLYD,0.03,0.03,0.03,34.0,1.02,0.26,2025-02-28,gse-2025-02.pdf
Ict,MTNGH,2.91,2.91,2.5,13236.18,38517.27,7.67,2025-02-28,gse-2025-02.pdf
Insurance,EGL,2.05,2.05,1.98,170.89,350.33,0.69,2025-02-28,gse-2025-02.pdf
Insurance,SIC,0.37,0.37,0.27,195.65,72.39,5.65,2025-02-28,gse-2025-02.pdf
Manufacturing,ALW,0.1,0.1,0.1,236.69,23.67,0.0,2025-02-28,gse-2025-02.pdf
Manufacturing,CMLT,0.14,0.14,0.14,6.83,0.96,0.3,2025-02-28,gse-2025-02.pdf
Manufacturing,IIL,0.05,0.05,0.05,274.41,13.72,,2025-02-28,gse-2025-02.pdf
Mining,AADS,0.41,0.41,0.41,0.98,40.13,1.31,2025-02-28,gse-2025-02.pdf
Mining,AGA,37.0,37.0,37.0,502.56,18594.72,1.18,2025-02-28,gse-2025-02.pdf
Mining,ALLGH,6.12,6.12,6.12,693.15,4242.06,0.0,2025-02-28,gse-2025-02.pdf
Mining,ASG,8.89,8.89,8.89,469.19,4171.1,3.88,2025-02-28,gse-2025-02.pdf
Mining,TLW,11.92,11.92,11.92,1459.22,17393.87,3.35,2025-02-28,gse-2025-02.pdf
Mining,BOPP,26.31,26.31,25.26,34.8,915.59,9.86,2025-02-28,gse-2025-02.pdf
Mining,GLD,425.6,443.5,390.5,361.55,2.9,1234.24,2025-02-28,gse-2025-02.pdf
Mining,MMH,0.1,0.1,0.1,96.08,9.61,,2025-02-28,gse-2025-02.pdf
Mining,DIGICUT,0.09,0.09,0.09,118.89,10.7,0.0,2025-02-28,gse-2025-02.pdf
