as_of,gse_composite_index,gse_financial_index,gse_market_cap_ghs_mil,gse_value_traded_ghs,gse_volume_traded,source
2025-02-28,5659.76,2814.3,127820.29,162639393.1,23278088.0,gse-2025-02.pdf
2025-03-31,6217.9,3059.3,136998.73,201913037.26,21951968.0,gse-2025-03.pdf
2025-04-30,6095.57,3112.17,135974.37,144898362.42,22875399.0,gse-2025-04.pdf
2025-06-30,6248.48,3376.01,137286.09,128291687.79,32179222.0,gse-2025-06.pdf
2025-07-31,6992.29,3427.06,146120.15,1730480165.03,358198243.0,gse-2025-07.pdf
2025-08-31,7330.37,3411.96,149598.17,203630026.22,45895456.0,gse-2025-08.pdf
2025-09-30,8168.35,3799.31,162594.44,189292066.21,45983242.0,gse-2025-09.pdf
2025-10-31,8385.35,4193.9,166537.93,217208851.97,44124276.0,gse-2025-10.pdf
2025-11-30,8610.15,4456.43,166484.54,192473302.83,38611789.0,gse-2025-11.pdf
2025-12-31,8770.25,4647.17,172042.59,274836277.55,87827624.0,gse-2025-12.pdf
2026-01-31,9006.51,4932.42,178835.59,705362197.11,167320004.0,gse-2026-01.pdf
2026-02-28,12869.2,7692.88,235736.2,989092688.07,201456072.0,gse-2026-02.pdf
2026-03-31,13060.13,7986.84,243727.5,1093155058.65,193804792.0,gse-2026-03.pdf
2026-06-30,14724.26,8269.37,287481.68,503638471.55,91554737.0,gse-2026-06.pdf
2026-07-31,15434.87,8238.07,292511.66,683535142.98,100366477.0,gse-2026-07.pdf
