apr,bank,documents,domain,facility,pages,relationship,security,trading,turnover
11.03%,Standard Chartered Bank (Ghana),,www.sc.com,,1,,,,
14.51%,Ecobank Ghana,,ecobank.com,,1,,,,
15.17%,Stanbic Bank Ghana,bank statements (for new customers only) Passport photo (Direct payroll deduction customers onl,www.stanbicbank.com.gh,"Minimum monthly income GHS 500,000",23,six months and confirmed in current job role You must have held an account with,"Unsecured Personal Loans are flexible, short- to medium-term loans tailored to meet your personal f",,
16.13%,Absa Bank Ghana,bank statement or credit card statement TIN (applicants residing in the US) Documents must be,www.absa.com.gh,"Minimum income requirement: GHS5,000",6,6 months' banking relationship,"unsecured loan options, overdraft facilities, or scheme loan, or apply for a home loan to buy your",,
16.41%,CalBank,"Certificate of Incorporation, Certificate to Commence Business, and Regulations/Articles of Association",www.calbank.net,Minimum initial deposit of GHS 200,19,,collateral,,
16.50%,First National Bank (Ghana),bank statements (Customers who do not have a primary account with First National Bank Ghana) Cu,www.firstnationalbank.com.gh,,16,6 months' bank statements (Customers who do not have a primary account with,collateral,,
16.59%,First Atlantic Bank,,www.firstatlanticbank.com.gh,,26,,collateral (cash or landed property),,
18.26%,Prudential Bank,,www.prudentialbank.com.gh,,9,,,,
18.91%,OmniBSIC Bank Ghana,,www.omnibsic.com.gh,,1,,,,
19.04%,Societe General Ghana,,www.societegenerale.com.gh,"up to GHS 250,000",26,,collateral for funds you need,,
19.79%,United Bank for Africa (Ghana),,www.ubagroup.com,,1,,,,
20.98%,Access Bank Ghana,Bank Statement for new accounts Letter of Undertaking from the employer Receipt of a clean cre,www.ghana.accessbankplc.com,"up to GHS 500,000",26,Three months – Six months pay slip/ Account with,collateral for loan,,"annual turnover of GHS 400,000"
21.13%,First Bank Ghana,,www.fbnbankghana.com,,3,,,,
22.25%,Zenith Bank (Ghana),Certificate of Incorporation (where applicable) Certificate to commence business (where applicable) Board re,www.zenithbank.com.gh,"minimum of GHS10,000",26,,,,
22.75%,Republic Bank (Ghana),,www.republicghana.com,"minimum monthly net salary of GHS 5,000",26,,Collateral Mortgage over residential property to be purchased Mortgage Life and Hazard insurance Ben,,"turnover of GHS 500,000"
23.42%,Bank of Africa Ghana,bank statements to confirm salary credits and consistency,www.boaghana.com,"Minimum Net monthly salary of GHS 500 Minimum Loan Limit GHS 1,000",14,,"Collateral needed Have up to 60 months to pay for a car The vehicle is fully insured 3 years/100,000",,
24.79%,Fidelity Bank Ghana,,www.fidelitybank.com.gh,,0,,,,
25.44%,Consolidated Bank Ghana,"business registration and statutory documents Underlying trade documentation (contracts, invoices, sh",www.cbg.com.gh,"up to GHS 500,000",15,,unsecured loan for growing businesses,,
27.48%,Agricultural Development Bank,,www.agricbank.com,,1,,,,
29.54%,GCB Bank,,www.gcbbank.com.gh,,0,,,,
33.58%,Guaranty Trust Bank (Ghana),,www.gtbghana.com,,25,,,,
