as_of,confidence,distributes,distribution_per_unit,file,fund_name,layout,management_fee_pct,min_debit_order,min_investment,nav,period_return_pct,review_reason,review_required,sec_no,series_kind,share_class,share_class_label,ter_is_ytd,ter_pct,trustee_or_custodian,trustee_or_custody_fee_pct,yield_pct
2026-01-01,high,True,,PDIF_Fact_Sheet_-_2026-01.pdf,PDIF_Fact_Sheet_-_2026-01.pdf,2026,1.95,,250000.0,109.82,,,False,SEC/CIS/MFL 51/25,quoted,main,,False,0.17,Standard Chartered Bank Ghana,0.15,14.85
2026-02-01,high,True,,PDIF_Fact_Sheet_-_2026-02.pdf,PDIF_Fact_Sheet_-_2026-02.pdf,2026,1.95,,250000.0,110.57,,,False,SEC/CIS/MFL 51/25,quoted,main,,False,0.35,Standard Chartered Bank Ghana,0.15,15.32
2026-03-01,high,True,,PDIF_Fact_Sheet_-_2026-03.pdf,PDIF_Fact_Sheet_-_2026-03.pdf,2026,1.95,,250000.0,111.83,,,False,SEC/CIS/MFL 51/25,quoted,main,,False,0.53,Standard Chartered Bank Ghana,0.15,14.25
2026-04-01,high,True,,PDIF_Fact_Sheet_-_2026-04.pdf,PDIF_Fact_Sheet_-_2026-04.pdf,2026,1.95,,250000.0,108.79,,,False,SEC/CIS/MFL 51/25,quoted,main,,False,0.08,Standard Chartered Bank Ghana,0.15,14.26
2026-06-01,high,True,4.67,PDIF_Fact_Sheet_-_2026-06.pdf,PDIF_Fact_Sheet_-_2026-06.pdf,2026,1.95,,25000.0,110.78,,,False,SEC/CIS/MFL 51/25,quoted,main,,False,0.34,Standard Chartered Bank Ghana,0.15,16.38
2026-07-01,high,True,4.67,PDIF_Fact_Sheet_-_2026-07.pdf,PDIF_Fact_Sheet_-_2026-07.pdf,2026,1.95,,25000.0,112.53,,,False,SEC/CIS/MFL 51/25,quoted,main,,False,1.14,Standard Chartered Bank Ghana,0.15,15.19
2024-01-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-01.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,9.0,,False,SEC/CIS/UTL 17/23,chained,main,SCT,True,0.22,Universal Merchant Bank,0.4,
2024-01-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-01.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.7,,False,SEC/CIS/UTL 17/23,chained,sub,AMC Sub- Class,True,0.22,Universal Merchant Bank,0.4,
2024-02-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-02.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,-4.0,,False,SEC/CIS/UTL 17/23,chained,main,SCT,True,0.43,Universal Merchant Bank,0.4,
2024-02-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-02.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.7,,False,SEC/CIS/UTL 17/23,chained,sub,AMC Sub- Class,True,0.43,Universal Merchant Bank,0.4,
2024-03-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-03.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,2.7,,False,SEC/CIS/UTL 17/23,chained,main,SCT,True,0.64,Universal Merchant Bank,0.4,
2024-03-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-03.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.8,,False,SEC/CIS/UTL 17/23,chained,sub,AMC Sub- Class,True,0.64,Universal Merchant Bank,0.4,
2024-04-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-04.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,-1.8,,False,SEC/CIS/UTL 17/23,chained,main,SCT,True,0.85,Universal Merchant Bank,0.4,
2024-04-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-04.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.7,,False,SEC/CIS/UTL 17/23,chained,sub,AMC Sub- Class,True,0.85,Universal Merchant Bank,0.4,
2024-05-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-05.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,7.3,,False,SEC/CIS/UTL 17/23,chained,main,SCT,True,1.02,Universal Merchant Bank,0.4,
2024-05-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-05.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.7,,False,SEC/CIS/UTL 17/23,chained,sub,AMC Sub- Class,True,1.02,Universal Merchant Bank,0.4,
2024-06-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-06.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,-5.0,,False,SEC/CIS/UTL 17/23,chained,main,SCT,True,1.154,Universal Merchant Bank,0.4,
2024-06-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-06.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.7,,False,SEC/CIS/UTL 17/23,chained,sub,AMC Sub- Class,True,1.154,Universal Merchant Bank,0.4,
2024-07-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-07.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,-6.2,,False,SEC/CIS/UTL 17/23,chained,main,Main Class,True,1.39,Universal Merchant Bank,0.4,
2024-07-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-07.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.7,,False,SEC/CIS/UTL 17/23,chained,sub,AMC Sub- Class,True,1.39,Universal Merchant Bank,0.4,
2024-08-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-08.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,5.8,,False,SEC/CIS/UTL 17/23,chained,main,Main Class,True,1.57,Universal Merchant Bank,0.4,
2024-08-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-08.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.7,,False,SEC/CIS/UTL 17/23,chained,sub,AMC Sub- Class,True,1.57,Universal Merchant Bank,0.4,
2024-09-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-09.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.2,,False,SEC/CIS/UTL 17/24,chained,main,Main Class,True,1.69,Universal Merchant Bank,0.4,
2024-09-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-09.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,1.6,,False,SEC/CIS/UTL 17/24,chained,sub,AMC Sub- Class,True,1.69,Universal Merchant Bank,0.4,
2024-10-01,high,False,,Stanbic_Cash_Trust_Fact_Sheet__2024-10.pdf,Stanbic Cash Trust,pre-2026,2.25,10.0,20.0,,5.6,,False,SEC/CIS/UTL 17/24,chained,main,Main Class,True,1.65,Universal Merchant Bank,0.4,
