provider,slug,document,file,pattern,snippet
Databank,databank,https://www.databankgroup.com/wp-content/uploads/2018/08/DISCLAIMERS.docx,data\provider-docs\databank\DISCLAIMERS.docx,"held, not read","not a PDF, or no text layer"
Databank,databank,https://www.databankgroup.com/wp-content/uploads/2018/08/COMPLAINTS-PROCESS.docx,data\provider-docs\databank\COMPLAINTS-PROCESS.docx,"held, not read","not a PDF, or no text layer"
GCB Capital,gcb-capital,https://gcbcapital.com.gh/wp-content/uploads/2024/12/GCL-Individual-Account-Opening-Form_1224.pdf,data\provider-docs\gcb-capital\GCL-Individual-Account-Opening-Form_1224.pdf,mortgage,Mortgage
GCB Capital,gcb-capital,https://gcbcapital.com.gh/wp-content/uploads/2024/12/GCL-Individual-Account-Opening-Form_1224.pdf,data\provider-docs\gcb-capital\GCL-Individual-Account-Opening-Form_1224.pdf,mortgage,Mortgage
SIMS,stanbic-investment-management-services,https://www.sims.com.gh/static_file/Ghana%20SIMS/Downloadable%20files/Monthly%20Facts%20Sheets/2026/Stanbic%20Cash%20Trust%20Fact%20Sheet%20-%20July%202026.pdf,data\provider-docs\stanbic-investment-management-services\Stanbic_20Cash_20Trust_20Fact_20Sheet_20-_20July_202026.pdf,rate,deposits (79.1%
SIMS,stanbic-investment-management-services,https://www.sims.com.gh/static_file/Ghana%20SIMS/Downloadable%20files/Monthly%20Facts%20Sheets/2026/Stanbic%20Cash%20Trust%20Fact%20Sheet%20-%20July%202026.pdf,data\provider-docs\stanbic-investment-management-services\Stanbic_20Cash_20Trust_20Fact_20Sheet_20-_20July_202026.pdf,fee,Management Fee 2.00%
SIMS,stanbic-investment-management-services,https://www.sims.com.gh/static_file/Ghana%20SIMS/Downloadable%20files/Monthly%20Facts%20Sheets/2026/Stanbic%20Income%20Fund%20Trust%20Fact%20Sheet%20-%20July%202026.pdf,data\provider-docs\stanbic-investment-management-services\Stanbic_20Income_20Fund_20Trust_20Fact_20Sheet_20-_20July_202026.pdf,rate,deposits (22%
SIMS,stanbic-investment-management-services,https://www.sims.com.gh/static_file/Ghana%20SIMS/Downloadable%20files/Monthly%20Facts%20Sheets/2026/Stanbic%20Income%20Fund%20Trust%20Fact%20Sheet%20-%20July%202026.pdf,data\provider-docs\stanbic-investment-management-services\Stanbic_20Income_20Fund_20Trust_20Fact_20Sheet_20-_20July_202026.pdf,fee,Management Fee 2.00%
SIMS,stanbic-investment-management-services,https://www.sims.com.gh/static_file/Ghana%20SIMS/Downloadable%20files/Monthly%20Facts%20Sheets/2026/Stanbic%20Income%20Fund%20Trust%20Fact%20Sheet%20-%20July%202026.pdf,data\provider-docs\stanbic-investment-management-services\Stanbic_20Income_20Fund_20Trust_20Fact_20Sheet_20-_20July_202026.pdf,fee,management stood at approximately GHS 705.9
SIMS,stanbic-investment-management-services,https://www.sims.com.gh/static_file/Ghana%20SIMS/Downloadable%20files/Monthly%20Facts%20Sheets/2026/PDIF%20Fact%20Sheets/PDIF%20Fact%20Sheet%20-%20July%202026.pdf,data\provider-docs\stanbic-investment-management-services\PDIF_20Fact_20Sheet_20-_20July_202026.pdf,fee,Management Fee 1.95%
