company,domain,alive,pages,rate,fees,minimum,apply
ABii National Savings and Loans Ltd,abiinational.net,yes,1,,,,
Adehyeman Savings and Loans Company Ltd.,adehyeman.com,yes,5,Lending Products Public Sector Loan Interest Rate 42% Processing Fees 2% Monitoring Fees 1%,,,apply for
Advans Ghana Savings and Loans Ltd.,advansghana.com,yes,2,,,,Apply Now
Affinity Ghana Savings and Loans Limited (formerly Payflex Microfinance),affinityghana.com,yes,2,interest 0% Up to 5% 7% to 11%,,GHS 100 Minimum,
Asa Savings and Loans Company Limited,asasavingandloans.com,no,0,,,,
Bayport Savings and Loans Plc,bayportghana.com,yes,16,Loan - Bayport Ghana 0%,,,Apply for
Best Point Savings and Loans Ltd,bestpointgh.com,yes,16,,,,
Bond Savings and Loans Ltd,bond.com.gh,yes,1,,,,
Direct Savings and Loans Limited,directgh.com,yes,3,,,,Apply Now
Equity Savings and Loans Ltd.,equitygh.com,yes,3,,,,
Golden Link Savings & Loans Ltd,goldenlinkghana.com,yes,1,,,,
Golden Pride Savings and Loans Ltd,goldenpride.com.gh,yes,1,,,,
Izwe Savings and Loans PLC,izweghana.com,yes,2,loan of up to 70%,,"minimum investment amount is GHS 10,000",Apply Now
Jins Savings and Loans Ltd.,jinssavingsandloans.com,yes,2,loan interest rate ? 3.5%,,,
Letshego Savings and Loans Plc,afb.com.gh,no,0,,,,
Multi Credit Savings & Loans Co. Ltd.,mcslghana.com,yes,16,,,,
Opportunity International Savings and Loans Co. Ltd,opportunityghana.com,yes,2,,,,
Pacific Savings & Loans Co. Ltd.,pacificsavingsandloansgh.com,yes,1,,,,
Pan - African Savings and Loans Company LTD,panafricansl.com,yes,3,,,,
Progress Savings and Loans Limited,progressghana.com,yes,1,,,,
SIC Life Savings and Loans Ltd.,siclifesl.com.gh,yes,1,,,,
Sinapi Aba Savings and Loans Company Ltd,sinapiaba.com,yes,2,,,"minimum default limit of GHS 1,000 and maximum of GHS 5,000",Apply For
The Seed Funds Savings and Loans Ltd,theseedfunds.com,yes,2,,,,
