name,postal,address,phone,website,email,regulatory_status
Algebra Securities Limited,"P.O.Box GP 18469, Accra","5th Floor, Nester Square, North Liberation Link, Airport City, Accra",233 302 778552 / 3 +233 302 778554,algebracapital.com.gh,info@algebracapital.com.gh,
Amber Securities Limited,"PMB 45 Ministries, Accra","2nd Floor Heritage Tower Cruickshank Road, Ridge Accra GA-077-0894",+233 30 2679761/2 +233 059 699 4756,amber.com.gh,securities@amber.com.gh,
Apakan Securities Limited,"P.O.Box KN 2136 Kaneshie,Accra","The Alberts,Ground Floor,no.23 Kanda Estate",0302936629,securities.apakangroup.com/,securities@apakangroup.com,
Black Star Brokerage Limited,"PMB 59, Osu , Accra","The Rhombus , Plot 24 Tumu Avenue , Kanda Estates Accra",0302227698/0302767688,www.blackstaradvisors.com,info@blackstarbrokerage.com.gh,
Blackwood Capital Advisors Ltd,"P.O. Box AD 1288, Adabraka-Accra GA/R","2nd Floor Gulf House, Opposite Ghana Standard Authority, Shiashie",+233(0)591126800,www.bcagh.com,hello@bcagh.com,
Bullion Securities Limited,"P.O Box CT 5252, Cantonments","The Octagon Suite- B904, Barnes Road, Accra",(0544)-312462,bullionholding.com,info@bullionholding.com,
CDH Securities Ltd.,P.O Box 14911,"36 Independence Avenue, Adj. National Insurance Commission, North Ridge",0207998163,cdhgroup.com,cdhsecurities@cdhgroup.co,
Chapel Hill Denham Securities (Gh.) Limited,PMB CT 179,"No. 2 Sithole Road, Labone",(0302)-766865,chapelhilldenham.com,ghana.info@chapelhilldenham.com,
Constant Capital (Ghana) Limited,"PMB 171, KIA,East Legon, Accra","No. 6 Ayawaso West Wuogon, Tanbu Link, East Legon, Accra, Ghana",+233 302500386/ 0302500149/0246844626,www.constantcap.com.gh/,info@constantcap.com.gh,
Critical Ideas Limited,"P.O Box CT 3504, Cantonments, Accra","First Floor, Sedco House, Kanda Highway, North Ridge, Accra",0244982585,www.chippercash.com,dion@chippercash.com,
Databank Brokerage LTD.,"PMB, Ministries Post Office","No. 61 Barnes Rd, Adabraka",(0302)-669110/669417/662363,databankgroup.com,info@databankgroup.com,
Dosh Brokerage Ltd,"P.O. Box AN 10988, Accra-North","No. 10 Mireku WE Loop, Dansoman, Accra GA-504-4280",0800367463,www.0800dosh.me,info@0800dosh.me,
EDC Stockbrokers Limited,P.O Box AN 16746,"No. 5 2nd Ridge Link, North Ridge",(0302)-251720,//ecobank.com/,esl@ecobank.com,
Fincap Securities Limited,"P.O. Box MP 2399, Accra- Ghana","16 Noi Fetreke Street, Airport West, Accra",+233 208241184 +233 0208362477,www.fincaps.net,info@fincaps.net,
First Atlantic Brokers Limited,"P.O Box CT. 1620, Cantonments Accra","Dr. Isert Street, North Ridge, Accra",0302218030/0302218036,https://fabbrokers.com.gh/,brokers@firstatlanticbank.com.gh,
FirstBanc Brokerage Services Limited,"P.O Box 1464, Osu","No. 5 Nii Nortey Afriyie, Ring Way Link, Osu",(0302)-250624/250380/250636,firstbancgroup.com,brokerage@firstbancgroup.com,
GFX Brokers Limited,P. O. Box 183 Accra North,"2nd Floor, PWC Tower, Cantonments City, Accra",0596920995,gfxbrokers.com,info@gfxbrokers.com,
IC Securities (Ghana) Ltd.,"PMB -GPO 104, Accra","No. 2, Johnson Sirleaf Road, North Ridge",+233 (0) 308 250 051,www.ic.africa/,sec@ic.africa,
Laurus Africa Securities Limited,"P.O Box 1845, Osu Accra","No 2 Dr Isert Street North-Ridge, Accra GA-029-0014",0303940660/0308040110,laurusafrica.com,info@laurusafrica.com,
Merban Stockbrokers Ltd,"P.O.Box CT 1317 Cantonments, Accra","1 Abdul Diouf Rd, Accra",(0302)-251137/8,umbcapital.com,stockbrokers@myumbbank.com,
NTHC Securities Limited,"P.O Box KIA 9563, Airport- Accra","NTHC House,18 Gamel Nasser Avenue, Ringway Estates, Osu",(233)302223842/(233)302223849,securities.nthc.com.gh/,securities@nthc.com.gh,
One Africa Securities Ltd,"No.1 Norfo Close, North Dzorwulu, Accra - Ghana","No.1 Norfo Close, North Dzorwulu, Accra - Ghana",+233 27 781 8228,oamarkets.com,info@oamarkets.com,
Petra Securities Limited,"P.O Box CT 3194 Cantonments, Accra","Plot No.217 Osu Badu Street, Airport West- Dzorwulu, Accra",0262290577/0302763908,petrasecurities.com,info@petrasecurities.com,
Regulus Investment and Financial Services Ghana Limited,"P. O Box 1847, Accra","HNO.2B, Mayfair Residency, 16 Saflo, Behind Lincoln School",0540114157/0540110130,https://regulus.finance/,contact@regulus.finance,
Republic Securities (Ghana) Limited,"P.O.Box CT 4603, Cantonments","#48A sixth avenue, North Ridge, Accra",0283094229,republicinvestmentsgh.com,securities@republicghana.com,
Sarpong Capital Markets Limited,"P. O. Box CT 10881, Cantonments, Accra","2 Almond Street and 21 Boundry Road, Christian Services, East Legon",0540122295/0245222934/0500959197,www.sarpongcapital.com,compliance@sarpongcapital.com,
Savvy Securities Limited Company,"P.O.Box 9967, K.I.A. Accra","House Number 1, 1st Norla Link, Near Labone Police Station, Labone, Accra",0302200748,savvysecurities.com/,info@savvysecurities.com,
SBG Securities (Gh) Limited,"P.O Box CT 2344, Cantonments","Plot 215, Stanbic Heights South Liberation Link, Airport City",(0302)-815789,www.sbgsecurities.com.gh,stanbicgh@stanbic.com,
Serengeti Capital Markets Limited,"P.O BOX CT 2868, Cantonmants Accra","2nd Floor, Heritage Towers Ambassadorial Enclave",(0302)-660163/676979/676980,serengeticapital.com/brokerage/,service@newworldgh.com,
SIC Brokerage Limited,"PMB CT 314, Cantonments - Accra, Ghana","No. 28/29, Nyametei House Ring Road East",0302 940056,sicbrokerage.com,trader@sicbrokerage.com,
Strategic African Securities Limited,P.O Box 16446 Accra,"14th Floor, World Trade Centre, Independence Avenue",(0302)-251546-9 /7011770,sasghana.com,sasltd@africaonline.com.gh,
Teak Tree Brokerage Limited,P.O.Box 5879 Accra- North,"Nyaniba Estate, House number F380/4 Osu Crescent. GPS address GL-030-1368",(0302)-978838/9,ttbghana.com,info@ttbghana.com,
Wallstreet Brokerage Ltd,"P.O Box 1495, Accra","W1 Manet Ville Estate, Okpoi Gonno, Airport East, Accra",0303963009,www.wallstreetbrokeragegh.com,info@wallstreetbrokeragegh.com,
Worldwide Securities Limited,"P.O Box OS 01017, Osu",No. 8 Ring Way Link,(0302)-764578/256001,worldwidesecurities-gh.com,info@worldwidesecurities-gh.com,
